Page,URL,Rect,Context
1,https://cheleloyborolas.com/index.php?option=com_content&view=article&id=73319:universitarios-contribuiran-al-cuidado-y-valoracion-del-agua-potable-en-colegios-de-pasco&catid=10&Itemid=103,"(477.0860290527344, 48.7464599609375, 549.214111328125, 58.8697509765625)","ca a las doce escuelas unass. (Chelelo y Borolas, ta, Diario El Siglo)"
1,https://www.facebook.com/share/p/1HXDqRUe2K/,"(45.58296203613281, 58.8697509765625, 105.689697265625, 68.99298095703125)","pasqueñas participant Radio Cumbre, La Re"
1,https://www.facebook.com/share/1CagVbh1x2/,"(110.7513198852539, 58.8697509765625, 189.2064208984375, 68.99298095703125)","as participantes en el Programa E umbre, La Red Informativa, El Info"
1,https://www.facebook.com/share/p/1EWYQWR1MB/,"(194.26803588867188, 58.8697509765625, 249.3131561279297, 68.99298095703125)","el Programa Educativo Coleg mativa, El Informante, Revist"
1,https://www.facebook.com/share/19RVNMdtaZ/,"(254.37477111816406, 58.8697509765625, 315.7469177246094, 68.99298095703125)","ducativo Colegio con Agua Seg mante, Revista Creser, Pasco"
1,http://www.pascolibre.com/2025/05/universitarios-contribuiran-al-cuidado.html,"(320.80853271484375, 58.8697509765625, 370.1593322753906, 68.99298095703125)","con Agua Segura que prom Creser, Pasco Libre, Tu Op"
1,https://www.facebook.com/share/1G2s5Mm1As/,"(375.220947265625, 58.8697509765625, 454.3087463378906, 68.99298095703125)","gura que promueve la Sunass. (Ch o Libre, Tu Opinión Importa, Diario"
1,https://www.facebook.com/photo?fbid=672533975664890&set=a.109152658669694,"(459.370361328125, 58.8697509765625, 517.5789794921875, 68.99298095703125)","a Sunass. (Chelelo y Borolas mporta, Diario El Siglo)"
1,https://www.facebook.com/share/p/19Qp1qH4BC/,"(382.1806640625, 115.81292724609375, 441.0220031738281, 125.9361572265625)","rios Norte, Sur, Oriente y Cen ución. (Radio Cultural, Radio"
1,https://www.facebook.com/share/p/1AtK69RjoN/,"(446.0836181640625, 115.81292724609375, 518.8443603515625, 125.9361572265625)","Oriente y Centro para el período ultural, Radio Candarave, Radio"
1,https://www.facebook.com/share/p/1As3CADEPL/,"(523.9060668945312, 115.81292724609375, 547.9486694335938, 125.9361572265625)","ara el período darave, Radio"
1,https://www.facebook.com/share/p/1As3CADEPL/,"(45.58296203613281, 125.9361572265625, 70.89106750488281, 136.0594482421875)","2025-2027, e Activa, Decan"
1,https://www.facebook.com/share/p/1CTjPPJt1k/,"(75.95268249511719, 125.9361572265625, 134.79400634765625, 136.0594482421875)","2025-2027, en una ceremonia Activa, Decana Radio)"
1,https://www.youtube.com/watch?v=56xuYTqMico,"(450.5125427246094, 193.002685546875, 552.3776245117188, 203.12591552734375)","para evitar la propagación de cloro. (Radio Nacional YouTube,"
1,https://imacorpplataforma.com/wp-content/uploads/2025/05/27-05-2025-RADIO-NACIONAL-ENT-A-MARTIN-CASTRO-COORDINADOR-DE-LA-DIRECCION-DE-USUARIOS-DE-LA-SUNASS.mp4,"(45.58296203613281, 203.12591552734375, 108.85321044921875, 213.2491455078125)","enfermedades y garant Radio Nacional, Radio"
1,http://imacorpplataforma.com/wp-content/uploads/2025/05/27-05-2025-RADIO-NACIONAL-ENT-A-MARTIN-CASTRO-COORDINADOR-DE-LA-DIRECCION-DE-USUARIOS-DE-LA-SUNASS.mp3,"(113.91483306884766, 203.12591552734375, 176.5523681640625, 213.2491455078125)","dades y garantizar a la població acional, Radio Nacional)"
1,https://www.facebook.com/story.php?story_fbid=1295201555341766&id=100045558008543&rdid=hwvfb2NgjRHCeVP1,"(437.8584899902344, 260.069091796875, 507.4557189941406, 270.1923828125)","as de mantenimiento preventivo uarios. (Radio Onda Azul, Onda A Illary Tv, Illary Nacional, La Dec"
1,https://radioondaazul.com/sunass-sanciono-a-emsa-puno-por-falta-de-mantenimiento-en-planta-de-agua-potable/?fbclid=IwY2xjawKjAnNleHRuA2FlbQIxMQBicmlkETFTQVFhTzJmdmF4M0IzUnRvAR7yiFM9jX5v22ZXRq9ydo9Wur4zoPlnkLdSgQCdGGvE2RtDDqccxgb_BVAnjg_aem_6blHP1ugefRY-2dbo6GfCA#google_vignette,"(512.5173950195312, 260.069091796875, 555.5411376953125, 270.1923828125)","nto preventivo de sus a Azul, Onda Azul, cional, La Decana, La"
1,https://www.facebook.com/share/p/16aauKvhMu/,"(45.58296203613281, 270.1923828125, 88.60673522949219, 280.3155517578125)","PTAP, con el fin de Onda Azul, Onda A Decana, La Decan"
